CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Gene Strand	Gene Annotation
CGC355	CAZyme	k141_162963	k141_162963_15	20358	21953	-	CAZyme|GT83_e95
CGC355	TC	k141_162963	k141_162963_16	21940	22542	-	TC|9.B.27.2.5
CGC355	STP	k141_162963	k141_162963_17	23464	24267	+	STP|SBP_bac_3
CGC355	STP	k141_162963	k141_162963_18	24670	25470	+	STP|SBP_bac_3
CGC355	TC	k141_162963	k141_162963_19	25672	26292	-	TC|8.A.85.3.3
CGC356	CAZyme	k141_163044	k141_163044_3	1804	4149	-	CAZyme|GH92_e0
CGC356	null	k141_163044	k141_163044_4	4270	5637	-	null
CGC356	TC	k141_163044	k141_163044_5	5675	8797	-	TC|1.B.14.6.16
CGC357	CAZyme	k141_163113	k141_163113_9	6292	7023	-	CAZyme|GT26_e51
CGC357	null	k141_163113	k141_163113_10	7014	7454	-	null
CGC357	null	k141_163113	k141_163113_11	7447	8547	-	null
CGC357	CAZyme	k141_163113	k141_163113_12	8585	9673	-	CAZyme|GT4_e150+TC|2.A.38.4.5
CGC357	null	k141_163113	k141_163113_13	9685	10776	-	null
CGC357	null	k141_163113	k141_163113_14	10773	11954	-	null
CGC357	CAZyme	k141_163113	k141_163113_15	11942	13054	-	CAZyme|GT4_e19
CGC358	TC	k141_163315	k141_163315_1	2	346	+	TC|9.B.18.1.6
CGC358	CAZyme	k141_163315	k141_163315_2	356	1147	+	CAZyme|GT4_e2644
CGC359	TC	k141_163592	k141_163592_48	41315	42193	+	TC|1.B.50.2.2
CGC359	TC	k141_163592	k141_163592_49	42219	42911	+	TC|4.D.1.1.15+CAZyme|GT2
CGC360	CAZyme	k141_16379	k141_16379_1	2	397	+	CAZyme|GH31_18
CGC360	TC	k141_16379	k141_16379_2	443	1828	+	TC|2.A.2.3.9
CGC360	TC	k141_16379	k141_16379_3	1871	2149	+	TC|2.A.2.3.15
CGC361	CAZyme	k141_164253	k141_164253_16	15940	17316	+	CAZyme|CE4_e246
CGC361	TC	k141_164253	k141_164253_17	17458	18519	-	TC|3.A.11.1.5
CGC362	CAZyme	k141_164281	k141_164281_3	3550	4497	+	CAZyme|CE8_e88
CGC362	null	k141_164281	k141_164281_4	4517	4675	+	null
CGC362	TC	k141_164281	k141_164281_5	4730	6262	-	TC|9.B.238.3.3
CGC362	STP	k141_164281	k141_164281_6	6281	6967	-	STP|Response_reg+STP|Trans_reg_C+TF|Trans_reg_C
CGC362	CAZyme	k141_164281	k141_164281_7	7234	7974	+	CAZyme|GT32_e27
CGC363	TC	k141_164799	k141_164799_43	38484	39389	-	TC|1.B.21.1.1
CGC363	TC	k141_164799	k141_164799_44	39434	40516	-	TC|3.A.1.1.46
CGC363	null	k141_164799	k141_164799_45	40530	41189	-	null
CGC363	CAZyme	k141_164799	k141_164799_46	41186	43453	-	CAZyme|GH65_e4
CGC363	CAZyme	k141_164799	k141_164799_47	43450	44505	-	CAZyme|GH109_e7
CGC363	null	k141_164799	k141_164799_48	44515	45303	-	null
CGC363	null	k141_164799	k141_164799_49	45322	46374	-	null
CGC363	TC	k141_164799	k141_164799_50	46405	47247	-	TC|3.A.1.1.46
CGC363	TC	k141_164799	k141_164799_51	47234	48115	-	TC|3.A.1.1.46
CGC363	TC	k141_164799	k141_164799_52	48136	49428	-	TC|3.A.1.1.46
CGC363	CAZyme	k141_164799	k141_164799_53	49442	51121	-	CAZyme|GH13_18
CGC364	CAZyme	k141_16487	k141_16487_16	12564	13517	+	CAZyme|GT2+TC|4.D.1.1.13
CGC364	null	k141_16487	k141_16487_17	13548	14477	-	null
CGC364	TC	k141_16487	k141_16487_18	14544	14828	-	TC|1.E.29.1.5
CGC364	null	k141_16487	k141_16487_19	14985	15281	+	null
CGC364	TC	k141_16487	k141_16487_20	15400	16152	+	TC|3.A.1.17.5
CGC364	TC	k141_16487	k141_16487_21	16142	16960	+	TC|3.A.1.17.6
CGC365	CAZyme	k141_165011	k141_165011_9	7881	8852	+	CAZyme|GT2
CGC365	TC	k141_165011	k141_165011_10	8854	9438	+	TC|9.B.105.2.4
CGC366	CAZyme	k141_165019	k141_165019_1	98	1303	+	CAZyme|CE15_e7
CGC366	TC	k141_165019	k141_165019_2	1261	1572	+	TC|2.A.1.65.6
CGC367	TC	k141_165455	k141_165455_1	1	555	-	TC|3.A.1.1.28
CGC367	TC	k141_165455	k141_165455_2	569	1435	-	TC|3.A.1.1.28
CGC367	TC	k141_165455	k141_165455_3	1449	2708	-	TC|3.A.1.1.28
CGC367	CAZyme	k141_165455	k141_165455_4	2723	3520	-	CAZyme|GH36_e0
CGC368	CAZyme	k141_165646	k141_165646_1	2	670	-	CAZyme|GT2+TC|4.D.1.1.13
CGC368	TC	k141_165646	k141_165646_2	663	1691	-	TC|9.B.97.6.2
CGC369	CAZyme	k141_166225	k141_166225_2	548	1657	+	CAZyme|GH25_e34|CBM50_e836|CBM50_e836|CBM50_e758
CGC369	TC	k141_166225	k141_166225_3	1844	4021	+	TC|2.A.16.2.2
CGC370	TC	k141_166241	k141_166241_1	3	632	-	TC|2.A.66.2.16
CGC370	CAZyme	k141_166241	k141_166241_2	634	1800	-	CAZyme|GT4_e925
CGC370	CAZyme	k141_166241	k141_166241_3	1813	2727	-	CAZyme|GT2
CGC370	CAZyme	k141_166241	k141_166241_4	2754	3632	-	CAZyme|GT2
CGC371	CAZyme	k141_166411	k141_166411_1	167	1099	-	CAZyme|GT2+TC|4.D.1.1.14
CGC371	TC	k141_166411	k141_166411_2	1702	3897	+	TC|2.A.6.4.2
CGC372	TC	k141_166572	k141_166572_3	1298	2077	-	TC|9.B.169.2.4
CGC372	TC	k141_166572	k141_166572_4	2074	3438	-	TC|2.A.66.1.33
CGC372	null	k141_166572	k141_166572_5	3631	4419	+	null
CGC372	null	k141_166572	k141_166572_6	4419	6407	+	null
CGC372	TC	k141_166572	k141_166572_7	6491	8293	-	TC|3.A.1.120.8
CGC372	null	k141_166572	k141_166572_8	8333	9739	-	null
CGC372	null	k141_166572	k141_166572_9	9757	10854	-	null
CGC372	TC	k141_166572	k141_166572_10	10865	11776	-	TC|9.B.325.1.1
CGC372	TC	k141_166572	k141_166572_11	11801	12529	-	TC|9.B.27.1.11
CGC372	null	k141_166572	k141_166572_12	12562	13539	-	null
CGC372	TC	k141_166572	k141_166572_13	13705	15186	-	TC|2.A.25.1.5
CGC372	TC	k141_166572	k141_166572_14	15225	16601	+	TC|2.A.66.1.55
CGC372	CAZyme	k141_166572	k141_166572_15	16607	17245	-	CAZyme|CE4_e184
CGC372	TC	k141_166572	k141_166572_16	17283	17921	-	TC|3.A.1.2.3
CGC373	TC	k141_166609	k141_166609_30	31684	32697	-	TC|4.D.1.1.3+CAZyme|GT2
CGC373	STP	k141_166609	k141_166609_31	32913	33215	-	STP|Rhodanese
CGC373	TC	k141_166609	k141_166609_32	33230	34012	-	TC|2.A.5.5.10
CGC374	TC	k141_166609	k141_166609_56	56642	57532	-	TC|8.A.230.1.5
CGC374	TC	k141_166609	k141_166609_57	57545	58111	-	TC|9.B.391.1.2
CGC374	null	k141_166609	k141_166609_58	58293	58634	-	null
CGC374	CAZyme	k141_166609	k141_166609_59	58940	60250	+	CAZyme|GH13_20
CGC374	null	k141_166609	k141_166609_60	60365	60955	+	null
CGC374	TC	k141_166609	k141_166609_61	60959	62734	-	TC|3.A.1.120.8
CGC375	TC	k141_166613	k141_166613_1	1	432	-	TC|3.A.1.1.10
CGC375	null	k141_166613	k141_166613_2	641	835	-	null
CGC375	CAZyme	k141_166613	k141_166613_3	889	3129	-	CAZyme|GH3_e229
CGC375	CAZyme	k141_166613	k141_166613_4	3348	4415	+	CAZyme|CBM9_e3
CGC375	STP	k141_166613	k141_166613_5	4467	5489	+	STP|Peripla_BP_3+TF|0036955
CGC375	CAZyme	k141_166613	k141_166613_6	5624	8344	-	CAZyme|GH38_e18
CGC376	TC	k141_166724	k141_166724_1	1065	1820	+	TC|1.A.14.2.2
CGC376	STP	k141_166724	k141_166724_2	2123	3151	-	STP|HTH_18
CGC376	TC	k141_166724	k141_166724_3	3201	6830	-	TC|1.C.96.1.3+CAZyme|GH92_e23
CGC377	CAZyme	k141_16676	k141_16676_3	1746	4151	+	CAZyme|GH73_e116
CGC377	null	k141_16676	k141_16676_4	4168	6138	+	null
CGC377	TC	k141_16676	k141_16676_5	6149	8218	+	TC|3.A.9.1.2
CGC378	TC	k141_167175	k141_167175_1	3	1697	+	TC|3.A.1.1.59
CGC378	CAZyme	k141_167175	k141_167175_2	1723	2229	+	CAZyme|GH32_e71
CGC379	TC	k141_167358	k141_167358_12	11908	12222	+	TC|3.D.3.5.2
CGC379	null	k141_167358	k141_167358_13	12433	12843	-	null
CGC379	TC	k141_167358	k141_167358_14	12998	14554	-	TC|2.A.130.1.1
CGC379	TC	k141_167358	k141_167358_15	14747	18097	+	TC|1.B.14.6.17
CGC379	TC	k141_167358	k141_167358_16	18122	19636	+	TC|1.B.38.1.10
CGC379	TC	k141_167358	k141_167358_17	19782	20093	+	TC|2.A.124.1.2
CGC379	TC	k141_167358	k141_167358_18	20090	20692	+	TC|2.A.124.1.2
CGC379	CAZyme	k141_167358	k141_167358_19	20726	23881	+	CAZyme|GH2_e1
CGC379	CAZyme	k141_167358	k141_167358_20	23887	25767	+	CAZyme|GH63_e18
CGC379	STP	k141_167358	k141_167358_21	26101	27051	-	STP|FecR
CGC379	STP	k141_167358	k141_167358_22	27105	27677	-	STP|Sigma70_r2+STP|Sigma70_r4_2
CGC379	TC	k141_167358	k141_167358_23	27690	30845	-	TC|2.A.130.1.1
CGC379	TC	k141_167358	k141_167358_24	30893	31693	-	TC|3.A.1.15.15
CGC380	CAZyme	k141_167433	k141_167433_2	292	1509	+	CAZyme|GT4_e2729
CGC380	TC	k141_167433	k141_167433_3	1531	2250	+	TC|4.D.1.1.2+CAZyme|GT2
CGC380	null	k141_167433	k141_167433_4	2247	2603	+	null
CGC380	TC	k141_167433	k141_167433_5	2650	4152	+	TC|2.A.50.2.3
CGC381	TC	k141_167450	k141_167450_1	3	341	-	TC|3.A.1.1.4
CGC381	CAZyme	k141_167450	k141_167450_2	416	2581	-	CAZyme|GH112_e0
CGC382	TC	k141_167643	k141_167643_3	996	2183	+	TC|2.A.86.1.16
CGC382	null	k141_167643	k141_167643_4	2170	2532	+	null
CGC382	CAZyme	k141_167643	k141_167643_5	2614	4194	-	CAZyme|GH36_e31
CGC383	CAZyme	k141_167751	k141_167751_2	385	1710	+	CAZyme|GH4_e4
CGC383	TC	k141_167751	k141_167751_3	1798	2190	+	TC|4.A.1.1.3
CGC384	TC	k141_167858	k141_167858_2	252	1586	+	TC|4.A.3.2.6
CGC384	CAZyme	k141_167858	k141_167858_3	1588	3018	+	CAZyme|GH1_e85
CGC385	TC	k141_167870	k141_167870_4	3273	4634	+	TC|2.A.23.1.14
CGC385	STP	k141_167870	k141_167870_5	4737	5294	+	STP|CYTH
CGC385	CAZyme	k141_167870	k141_167870_6	5391	6386	-	CAZyme|CE4_e47
CGC386	TC	k141_16836	k141_16836_5	5126	5554	+	TC|2.A.129.1.8
CGC386	CAZyme	k141_16836	k141_16836_6	5580	6557	+	CAZyme|GT2+TC|4.D.1.1.14
CGC386	TC	k141_16836	k141_16836_7	6532	9162	+	TC|9.B.144.1.6
CGC387	TC	k141_168504	k141_168504_2	374	1342	-	TC|4.D.1.1.15+CAZyme|GT2
CGC387	CAZyme	k141_168504	k141_168504_3	1358	2635	-	CAZyme|GT4_e2496
CGC387	CAZyme	k141_168504	k141_168504_4	2638	3633	-	CAZyme|GT2
CGC387	CAZyme	k141_168504	k141_168504_5	3587	4024	-	CAZyme|GT4_e1204
CGC388	TC	k141_16864	k141_16864_2	214	1674	+	TC|2.A.66.2.16
CGC388	TC	k141_16864	k141_16864_3	1671	2696	+	TC|4.D.1.1.2+CAZyme|GT2
CGC388	CAZyme	k141_16864	k141_16864_4	2712	3029	+	CAZyme|GT2
CGC389	TC	k141_168715	k141_168715_2	152	928	+	TC|3.A.1.103.4
CGC389	CAZyme	k141_168715	k141_168715_3	956	2710	+	CAZyme|GT2
CGC390	CAZyme	k141_16881	k141_16881_61	53842	54798	+	CAZyme|CE4_e274
CGC390	TC	k141_16881	k141_16881_62	54999	57221	+	TC|3.A.23.6.1
CGC390	CAZyme	k141_16881	k141_16881_63	57236	58171	-	CAZyme|GT2+TC|4.D.1.1.14
CGC390	null	k141_16881	k141_16881_64	58362	58817	+	null
CGC390	TC	k141_16881	k141_16881_65	58810	59805	+	TC|1.A.78.2.9
CGC390	null	k141_16881	k141_16881_66	59808	60431	+	null
CGC390	TC	k141_16881	k141_16881_67	60571	61980	+	TC|2.A.3.3.23
CGC391	TC	k141_16881	k141_16881_71	64117	66750	+	TC|3.A.5.2.1
CGC391	null	k141_16881	k141_16881_72	66879	67916	+	null
CGC391	STP	k141_16881	k141_16881_73	68167	68433	+	STP|PTS-HPr
CGC391	TC	k141_16881	k141_16881_74	68436	70163	+	TC|8.A.7.1.1
CGC391	null	k141_16881	k141_16881_75	70278	70634	+	null
CGC391	null	k141_16881	k141_16881_76	70676	70975	-	null
CGC391	TC	k141_16881	k141_16881_77	71364	72299	-	TC|4.C.3.2.4
CGC391	TC	k141_16881	k141_16881_78	72541	72861	+	TC|2.A.7.1.4
CGC391	TC	k141_16881	k141_16881_79	72983	74146	+	TC|2.A.1.2.8
CGC391	CAZyme	k141_16881	k141_16881_80	74423	75388	+	CAZyme|GT2+TC|4.D.1.1.14
CGC392	TC	k141_168934	k141_168934_6	5079	6557	-	TC|2.A.2.3.3
CGC392	null	k141_168934	k141_168934_7	7648	7794	-	null
CGC392	TC	k141_168934	k141_168934_8	8000	9370	-	TC|2.A.2.3.2
CGC392	CAZyme	k141_168934	k141_168934_9	9387	12452	-	CAZyme|GH2_e104
CGC393	CAZyme	k141_169089	k141_169089_1	22	1068	-	CAZyme|GT4_e825
CGC393	CAZyme	k141_169089	k141_169089_2	1068	2195	-	CAZyme|GT4_e150
CGC393	TC	k141_169089	k141_169089_3	2206	2862	-	TC|9.B.18.1.4
CGC394	TC	k141_169146	k141_169146_13	15390	16514	-	TC|5.B.14.1.1
CGC394	null	k141_169146	k141_169146_14	16729	18816	-	null
CGC394	null	k141_169146	k141_169146_15	18931	19710	-	null
CGC394	CAZyme	k141_169146	k141_169146_16	19933	21510	-	CAZyme|CE20_e31|CE20_e31
CGC395	CAZyme	k141_169170	k141_169170_1	3	1187	-	CAZyme|GH13_29+TC|8.A.9.1.2
CGC395	TC	k141_169170	k141_169170_2	1206	1451	-	TC|4.A.1.2.13
CGC396	TC	k141_169172	k141_169172_1	2	247	+	TC|4.A.1.2.13
CGC396	CAZyme	k141_169172	k141_169172_2	266	1150	+	CAZyme|GH13_29+TC|8.A.9.1.2
CGC397	TC	k141_169239	k141_169239_1	2	931	+	TC|3.A.1.1.10
CGC397	TC	k141_169239	k141_169239_2	942	1832	+	TC|3.A.1.1.29
CGC397	CAZyme	k141_169239	k141_169239_3	1852	2637	+	CAZyme|CE1_e22
CGC397	null	k141_169239	k141_169239_4	2745	4442	+	null
CGC397	TF	k141_169239	k141_169239_5	4445	6034	+	TF|0036286+STP|Response_reg+STP|HTH_18+TF|HTH_AraC
CGC397	TC	k141_169239	k141_169239_6	6062	7591	+	TC|8.A.117.1.3
CGC398	TC	k141_1694	k141_1694_6	5191	5883	-	TC|3.E.1.5.3+STP|Response_reg+STP|Trans_reg_C+TF|Trans_reg_C
CGC398	CAZyme	k141_1694	k141_1694_7	5955	8150	-	CAZyme|CBM48_e3|GH13_11
CGC398	TC	k141_1694	k141_1694_8	8266	9351	-	TC|3.B.1.1.6
CGC399	TC	k141_169485	k141_169485_11	11814	13178	+	TC|1.A.26.1.2
CGC399	CAZyme	k141_169485	k141_169485_12	13266	14705	+	CAZyme|CBM48_e2|GH13_9
CGC400	CAZyme	k141_16954	k141_16954_2	509	1651	-	CAZyme|GT2
CGC400	null	k141_16954	k141_16954_3	1648	2424	-	null
CGC400	CAZyme	k141_16954	k141_16954_4	2684	3958	+	CAZyme|GT1_e93
CGC400	TC	k141_16954	k141_16954_5	3955	4935	+	TC|3.D.1.6.1
CGC401	CAZyme	k141_169567	k141_169567_85	74800	75990	+	CAZyme|GT4_e86
CGC401	null	k141_169567	k141_169567_86	76048	76890	-	null
CGC401	null	k141_169567	k141_169567_87	76887	77789	-	null
CGC401	TC	k141_169567	k141_169567_88	77789	79174	-	TC|1.A.134.1.4
CGC402	CAZyme	k141_169567	k141_169567_139	130146	132362	-	CAZyme|GT51_e164
CGC402	null	k141_169567	k141_169567_140	132535	132834	+	null
CGC402	null	k141_169567	k141_169567_141	133031	134812	+	null
CGC402	TC	k141_169567	k141_169567_142	134815	135057	+	TC|3.D.1.6.4
CGC403	CAZyme	k141_169620	k141_169620_1	3	1031	-	CAZyme|GT4_e221
CGC403	TC	k141_169620	k141_169620_2	1019	1954	-	TC|4.D.2.1.6+CAZyme|GT2
CGC403	CAZyme	k141_169620	k141_169620_3	1951	3174	-	CAZyme|GT4_e203
CGC403	TC	k141_169620	k141_169620_4	3171	4874	-	TC|3.A.1.106.15
CGC404	TC	k141_169640	k141_169640_10	7012	9612	-	TC|3.A.9.1.2
CGC404	CAZyme	k141_169640	k141_169640_11	9862	11928	+	CAZyme|GH39_e48
CGC405	TC	k141_169724	k141_169724_2	863	2203	-	TC|2.A.2.3.5
CGC405	STP	k141_169724	k141_169724_3	2312	3178	+	STP|HTH_18
CGC405	CAZyme	k141_169724	k141_169724_4	3308	4951	+	CAZyme|GH43_11|CBM91_e3
CGC406	CAZyme	k141_169732	k141_169732_2	221	1612	+	CAZyme|GH28_e117
CGC406	TC	k141_169732	k141_169732_3	1822	2568	+	TC|3.A.1.207.7
CGC407	TC	k141_169842	k141_169842_3	1661	5275	+	TC|2.A.130.1.1
CGC407	TC	k141_169842	k141_169842_4	5304	6494	+	TC|1.B.57.4.6
CGC407	null	k141_169842	k141_169842_5	6533	7012	+	null
CGC407	CAZyme	k141_169842	k141_169842_6	7399	8673	+	CAZyme|GT4_e1535
CGC407	CAZyme	k141_169842	k141_169842_7	8670	9446	+	CAZyme|GT2
CGC407	TC	k141_169842	k141_169842_8	9481	10920	+	TC|2.A.66.2.23
CGC408	CAZyme	k141_169987	k141_169987_2	847	1596	+	CAZyme|GH23_e727
CGC408	TC	k141_169987	k141_169987_3	2060	2176	+	TC|2.A.26.1.9
CGC409	CAZyme	k141_17026	k141_17026_3	772	5937	-	CAZyme|CBM32_e59|CBM32_e50|CBM32_e59|GH20_e18|CBM32_e7
CGC409	null	k141_17026	k141_17026_4	6115	6264	-	null
CGC409	TC	k141_17026	k141_17026_5	6277	9027	-	TC|3.A.3.4.5
CGC409	null	k141_17026	k141_17026_6	9042	9347	-	null
CGC409	TC	k141_17026	k141_17026_7	9362	10039	-	TC|9.B.20.1.2
CGC410	TC	k141_170416	k141_170416_7	4355	6088	+	TC|9.B.254.1.1
CGC410	null	k141_170416	k141_170416_8	6179	9466	+	null
CGC410	CAZyme	k141_170416	k141_170416_9	9463	10566	-	CAZyme|GT2
CGC411	TC	k141_170479	k141_170479_2	2321	4906	+	TC|3.A.3.2.21
CGC411	TC	k141_170479	k141_170479_3	5247	7856	+	TC|3.A.3.2.46
CGC411	CAZyme	k141_170479	k141_170479_4	7942	9705	+	CAZyme|GH13_36+TC|8.A.9.1.3
CGC412	TC	k141_170479	k141_170479_15	24933	26129	+	TC|2.A.37.2.2
CGC412	null	k141_170479	k141_170479_16	26281	26940	+	null
CGC412	TC	k141_170479	k141_170479_17	26973	28946	+	TC|9.B.238.3.1
CGC412	TC	k141_170479	k141_170479_18	29055	29408	+	TC|1.E.14.1.1
CGC412	TC	k141_170479	k141_170479_19	29413	30105	+	TC|2.A.122.1.4
CGC412	CAZyme	k141_170479	k141_170479_20	30201	31073	+	CAZyme|CBM50_e430
CGC413	CAZyme	k141_170479	k141_170479_65	78658	79851	+	CAZyme|GT4_e2108
CGC413	CAZyme	k141_170479	k141_170479_66	79848	80957	+	CAZyme|GT4_e2567
CGC413	CAZyme	k141_170479	k141_170479_67	80954	82099	+	CAZyme|GT4_e1946
CGC413	null	k141_170479	k141_170479_68	82130	83053	+	null
CGC413	null	k141_170479	k141_170479_69	83078	84019	+	null
CGC413	CAZyme	k141_170479	k141_170479_70	84102	84923	+	CAZyme|GT2
CGC413	CAZyme	k141_170479	k141_170479_71	84945	85844	+	CAZyme|GT2
CGC413	null	k141_170479	k141_170479_72	85834	86601	+	null
CGC413	TC	k141_170479	k141_170479_73	86625	88073	+	TC|2.A.66.2.22
CGC414	TC	k141_170479	k141_170479_79	93471	94820	+	TC|9.B.18.1.3
CGC414	null	k141_170479	k141_170479_80	94830	96305	+	null
CGC414	CAZyme	k141_170479	k141_170479_81	96302	97075	+	CAZyme|GT2
CGC414	CAZyme	k141_170479	k141_170479_82	97072	98172	+	CAZyme|GT4_e459
CGC414	CAZyme	k141_170479	k141_170479_83	98174	99442	+	CAZyme|GT4_e2711
CGC414	TC	k141_170479	k141_170479_84	99533	100327	+	TC|3.A.1.103.4
CGC414	null	k141_170479	k141_170479_85	100344	100802	+	null
CGC414	CAZyme	k141_170479	k141_170479_86	100806	101879	+	CAZyme|GT4_e2034
CGC414	CAZyme	k141_170479	k141_170479_87	101891	103087	+	CAZyme|GT4_e3892
CGC414	TC	k141_170479	k141_170479_88	103103	104536	+	TC|3.A.1.103.4
CGC414	CAZyme	k141_170479	k141_170479_89	104563	106062	+	CAZyme|GT4_e2034
CGC414	CAZyme	k141_170479	k141_170479_90	106040	107005	+	CAZyme|GT2+TC|4.D.1.1.14
CGC414	null	k141_170479	k141_170479_91	107002	108291	+	null
CGC414	CAZyme	k141_170479	k141_170479_92	108288	109469	+	CAZyme|GT4_e905
CGC414	CAZyme	k141_170479	k141_170479_93	109488	110513	+	CAZyme|GT2
CGC415	TC	k141_170479	k141_170479_98	117734	118201	+	TC|2.A.129.1.8
CGC415	CAZyme	k141_170479	k141_170479_99	118207	119136	+	CAZyme|GT2+TC|4.D.1.1.13
CGC416	TC	k141_170927	k141_170927_7	5430	7784	+	TC|2.A.114.1.7
CGC416	null	k141_170927	k141_170927_8	7877	8536	-	null
CGC416	TF	k141_170927	k141_170927_9	8625	9563	+	TF|HTH_11
CGC416	TC	k141_170927	k141_170927_10	9710	11050	+	TC|3.A.18.1.1
CGC416	null	k141_170927	k141_170927_11	11054	11638	+	null
CGC416	STP	k141_170927	k141_170927_12	11794	12540	+	STP|SIS+TF|HTH_6
CGC416	TC	k141_170927	k141_170927_13	12782	13108	+	TC|4.A.3.2.4
CGC416	TC	k141_170927	k141_170927_14	13193	13543	+	TC|4.A.3.2.4
CGC416	STP	k141_170927	k141_170927_15	13637	14365	+	STP|SIS+TF|HTH_6
CGC416	TC	k141_170927	k141_170927_16	14657	15994	+	TC|4.A.3.2.2
CGC416	TC	k141_170927	k141_170927_17	16076	17512	+	TC|8.A.49.1.1+CAZyme|GH1_e0
CGC417	TC	k141_170930	k141_170930_3	1370	2335	+	TC|4.D.1.1.2+CAZyme|GT2
CGC417	CAZyme	k141_170930	k141_170930_4	2332	3156	+	CAZyme|GT2
CGC418	TC	k141_171402	k141_171402_3	2666	5695	-	TC|1.B.14.6.16
CGC418	CAZyme	k141_171402	k141_171402_4	6611	9058	-	CAZyme|CBM4_e26|CBM4_e26|GH10_e28
CGC418	null	k141_171402	k141_171402_5	9116	10537	-	null
CGC418	null	k141_171402	k141_171402_6	10612	12354	-	null
CGC418	TC	k141_171402	k141_171402_7	12378	15533	-	TC|1.B.14.6.1
CGC419	TC	k141_171408	k141_171408_13	9877	10164	-	TC|3.A.1.27.3
CGC419	TC	k141_171408	k141_171408_14	10164	10799	-	TC|3.A.1.27.3
CGC419	TC	k141_171408	k141_171408_15	10818	11369	-	TC|3.A.1.27.3
CGC419	TC	k141_171408	k141_171408_16	11374	12156	-	TC|3.A.1.27.3
CGC419	TC	k141_171408	k141_171408_17	12164	12976	-	TC|3.A.1.27.3
CGC419	TC	k141_171408	k141_171408_18	13186	14163	+	TC|2.A.19.5.1
CGC419	STP	k141_171408	k141_171408_19	14178	15164	+	STP|CBS+STP|SIS
CGC419	null	k141_171408	k141_171408_20	15179	15745	+	null
CGC419	TC	k141_171408	k141_171408_21	15742	16317	+	TC|1.B.42.1.2
CGC419	TC	k141_171408	k141_171408_22	16286	16831	+	TC|1.B.42.1.2
CGC419	TC	k141_171408	k141_171408_23	16838	17563	+	TC|3.A.1.152.9
CGC419	null	k141_171408	k141_171408_24	17611	19044	+	null
CGC419	null	k141_171408	k141_171408_25	19067	19354	+	null
CGC419	TC	k141_171408	k141_171408_26	19425	19913	+	TC|4.A.2.1.4
CGC419	null	k141_171408	k141_171408_27	19959	20813	+	null
CGC419	STP	k141_171408	k141_171408_28	20810	21082	+	STP|PTS-HPr
CGC419	CAZyme	k141_171408	k141_171408_29	21146	21871	-	CAZyme|GT51_e0
CGC419	null	k141_171408	k141_171408_30	21868	22521	-	null
CGC419	STP	k141_171408	k141_171408_31	22755	25094	-	STP|PAS+TC|9.B.238.3.1+STP|Response_reg+STP|HisKA+STP|HATPase_c
CGC419	null	k141_171408	k141_171408_32	25241	26305	-	null
CGC419	null	k141_171408	k141_171408_33	26602	27618	+	null
CGC419	TC	k141_171408	k141_171408_34	27704	28987	+	TC|2.A.1.14.1
CGC420	CAZyme	k141_171526	k141_171526_1	3	722	+	CAZyme|GH105_e32
CGC420	TC	k141_171526	k141_171526_2	787	2265	-	TC|2.A.128.2.3
CGC421	TC	k141_171602	k141_171602_9	7854	9068	-	TC|2.A.1.11.3
CGC421	null	k141_171602	k141_171602_10	9079	9855	-	null
CGC421	TF	k141_171602	k141_171602_11	10016	10819	+	TF|0042546
CGC421	TC	k141_171602	k141_171602_12	10812	12077	-	TC|2.A.86.1.16
CGC421	null	k141_171602	k141_171602_13	12197	13186	+	null
CGC421	CAZyme	k141_171602	k141_171602_14	13219	15183	+	CAZyme|CBM48_e2|GH13_9
CGC421	CAZyme	k141_171602	k141_171602_15	15187	17583	+	CAZyme|GT35_e0
CGC421	null	k141_171602	k141_171602_16	17583	17837	+	null
CGC421	CAZyme	k141_171602	k141_171602_17	17975	20062	+	CAZyme|CBM48_e46|GH13_14
CGC421	null	k141_171602	k141_171602_18	20071	20625	+	null
CGC421	TC	k141_171602	k141_171602_19	20635	24084	+	TC|3.A.11.1.5
CGC422	TC	k141_172379	k141_172379_1	2	460	+	TC|3.A.1.1.4
CGC422	TC	k141_172379	k141_172379_2	453	1259	+	TC|3.A.1.1.4
CGC422	null	k141_172379	k141_172379_3	1256	1720	+	null
CGC422	CAZyme	k141_172379	k141_172379_4	1671	2960	+	CAZyme|GH136_e6
CGC422	null	k141_172379	k141_172379_5	3056	3403	+	null
CGC422	TC	k141_172379	k141_172379_6	3529	4926	+	TC|2.A.66.1.13
CGC423	TC	k141_172618	k141_172618_4	1014	1670	-	TC|2.A.87.2.3
CGC423	CAZyme	k141_172618	k141_172618_5	1815	2774	+	CAZyme|CE4_e362
CGC424	CAZyme	k141_17291	k141_17291_2	414	2738	-	CAZyme|GH65_e4
CGC424	CAZyme	k141_17291	k141_17291_3	2790	5813	-	CAZyme|GH2_e61
CGC424	null	k141_17291	k141_17291_4	5810	6997	-	null
CGC424	CAZyme	k141_17291	k141_17291_5	7024	9276	-	CAZyme|GH3_e197
CGC424	TC	k141_17291	k141_17291_6	9363	10208	-	TC|3.A.1.1.34
CGC424	TC	k141_17291	k141_17291_7	10244	10879	-	TC|3.A.1.1.61
CGC425	CAZyme	k141_173353	k141_173353_2	274	1482	+	CAZyme|GT4_e510
